=====================================================================
testing with 65536 points.

> created 65536 random points in 0.003789 seconds.
> created a mtree with 65536 random points in 0.157297 seconds with height 4.
> found 83/65536 points with Q:(0.07659, 0.385696) and r=0.02 | I/O = 15 | in 0.000057 seconds.
> found 93/65536 points with Q:(0.233643, 0.363169) and r=0.02 | I/O = 13 | in 0.000020 seconds.
> found 78/65536 points with Q:(0.88502, 0.488245) and r=0.02 | I/O = 14 | in 0.000025 seconds.
> found 93/65536 points with Q:(0.919769, 0.966076) and r=0.02 | I/O = 8 | in 0.000015 seconds.
> found 74/65536 points with Q:(0.931567, 0.0833224) and r=0.02 | I/O = 12 | in 0.000021 seconds.
> found 74/65536 points with Q:(0.977958, 0.17224) and r=0.02 | I/O = 9 | in 0.000011 seconds.
> found 94/65536 points with Q:(0.399116, 0.682351) and r=0.02 | I/O = 12 | in 0.000023 seconds.
> found 89/65536 points with Q:(0.95383, 0.81461) and r=0.02 | I/O = 11 | in 0.000018 seconds.
> found 86/65536 points with Q:(0.766188, 0.785194) and r=0.02 | I/O = 12 | in 0.000018 seconds.
> found 81/65536 points with Q:(0.511113, 0.404959) and r=0.02 | I/O = 15 | in 0.000023 seconds.
> found 79/65536 points with Q:(0.626037, 0.42252) and r=0.02 | I/O = 12 | in 0.000016 seconds.
> found 86/65536 points with Q:(0.260796, 0.740043) and r=0.02 | I/O = 14 | in 0.000023 seconds.
> found 74/65536 points with Q:(0.915182, 0.884209) and r=0.02 | I/O = 13 | in 0.000016 seconds.
> found 82/65536 points with Q:(0.725327, 0.271511) and r=0.02 | I/O = 16 | in 0.000028 seconds.
> found 95/65536 points with Q:(0.124135, 0.608136) and r=0.02 | I/O = 9 | in 0.000016 seconds.
> found 58/65536 points with Q:(0.993832, 0.131679) and r=0.02 | I/O = 9 | in 0.000007 seconds.
> found 65/65536 points with Q:(0.494849, 0.200725) and r=0.02 | I/O = 15 | in 0.000023 seconds.
> found 100/65536 points with Q:(0.68897, 0.227475) and r=0.02 | I/O = 12 | in 0.000015 seconds.
> found 79/65536 points with Q:(0.193551, 0.379869) and r=0.02 | I/O = 12 | in 0.000011 seconds.
> found 81/65536 points with Q:(0.463191, 0.608739) and r=0.02 | I/O = 15 | in 0.000018 seconds.
> found 78/65536 points with Q:(0.78098, 0.125118) and r=0.02 | I/O = 14 | in 0.000022 seconds.
> found 82/65536 points with Q:(0.807469, 0.441149) and r=0.02 | I/O = 15 | in 0.000018 seconds.
> found 62/65536 points with Q:(0.25576, 0.180096) and r=0.02 | I/O = 14 | in 0.000018 seconds.
> found 85/65536 points with Q:(0.96529, 0.761299) and r=0.02 | I/O = 9 | in 0.000011 seconds.
> found 89/65536 points with Q:(0.166258, 0.0219478) and r=0.02 | I/O = 8 | in 0.000012 seconds.
> found 79/65536 points with Q:(0.444468, 0.476403) and r=0.02 | I/O = 15 | in 0.000019 seconds.
> found 93/65536 points with Q:(0.216446, 0.792295) and r=0.02 | I/O = 13 | in 0.000015 seconds.
