=====================================================================
testing with 16777216 points.

> created 16777216 random points in 0.967413 seconds.
> created a mtree with 16777216 random points in 2.645731 minutes | (158.743889 seconds) with height 5.
> found 20931/16777216 points with Q:(0.167661, 0.346037) and r=0.02 | I/O = 266 | in 0.001753 seconds.
> found 21327/16777216 points with Q:(0.176373, 0.110474) and r=0.02 | I/O = 267 | in 0.001290 seconds.
> found 21060/16777216 points with Q:(0.0243256, 0.616189) and r=0.02 | I/O = 256 | in 0.001013 seconds.
> found 16738/16777216 points with Q:(0.00942613, 0.463981) and r=0.02 | I/O = 202 | in 0.000941 seconds.
> found 21037/16777216 points with Q:(0.895177, 0.685351) and r=0.02 | I/O = 261 | in 0.000923 seconds.
> found 20987/16777216 points with Q:(0.033733, 0.647901) and r=0.02 | I/O = 262 | in 0.000873 seconds.
> found 21120/16777216 points with Q:(0.0689106, 0.291994) and r=0.02 | I/O = 270 | in 0.000880 seconds.
> found 13097/16777216 points with Q:(0.755366, 0.00383743) and r=0.02 | I/O = 162 | in 0.000475 seconds.
> found 17428/16777216 points with Q:(0.367629, 0.989184) and r=0.02 | I/O = 205 | in 0.000716 seconds.
> found 21148/16777216 points with Q:(0.522904, 0.430084) and r=0.02 | I/O = 268 | in 0.000838 seconds.
> found 21246/16777216 points with Q:(0.957778, 0.610838) and r=0.02 | I/O = 268 | in 0.000863 seconds.
> found 20964/16777216 points with Q:(0.262202, 0.438683) and r=0.02 | I/O = 263 | in 0.001239 seconds.
> found 20826/16777216 points with Q:(0.90972, 0.165318) and r=0.02 | I/O = 262 | in 0.001558 seconds.
> found 21214/16777216 points with Q:(0.429894, 0.570452) and r=0.02 | I/O = 274 | in 0.001067 seconds.
> found 21108/16777216 points with Q:(0.55657, 0.755457) and r=0.02 | I/O = 264 | in 0.000965 seconds.
> found 21115/16777216 points with Q:(0.101494, 0.858592) and r=0.02 | I/O = 262 | in 0.000868 seconds.
> found 21194/16777216 points with Q:(0.969066, 0.724231) and r=0.02 | I/O = 255 | in 0.000903 seconds.
> found 21182/16777216 points with Q:(0.34042, 0.277867) and r=0.02 | I/O = 263 | in 0.000898 seconds.
> found 14809/16777216 points with Q:(0.741848, 0.993392) and r=0.02 | I/O = 172 | in 0.000627 seconds.
> found 21230/16777216 points with Q:(0.678743, 0.349846) and r=0.02 | I/O = 270 | in 0.001177 seconds.
> found 11847/16777216 points with Q:(0.997747, 0.637025) and r=0.02 | I/O = 143 | in 0.000457 seconds.
> found 21117/16777216 points with Q:(0.929018, 0.712476) and r=0.02 | I/O = 265 | in 0.000923 seconds.
> found 21090/16777216 points with Q:(0.716313, 0.0666571) and r=0.02 | I/O = 265 | in 0.000867 seconds.
> found 21190/16777216 points with Q:(0.0558413, 0.684385) and r=0.02 | I/O = 258 | in 0.000849 seconds.
> found 21137/16777216 points with Q:(0.114469, 0.083942) and r=0.02 | I/O = 273 | in 0.000853 seconds.
> found 21444/16777216 points with Q:(0.69478, 0.578745) and r=0.02 | I/O = 265 | in 0.000830 seconds.
> found 20493/16777216 points with Q:(0.0174282, 0.0722467) and r=0.02 | I/O = 247 | in 0.000785 seconds.
> found 21342/16777216 points with Q:(0.237565, 0.956982) and r=0.02 | I/O = 264 | in 0.000836 seconds.
> found 20925/16777216 points with Q:(0.527433, 0.927148) and r=0.02 | I/O = 271 | in 0.000835 seconds.
> found 21273/16777216 points with Q:(0.682605, 0.667459) and r=0.02 | I/O = 265 | in 0.000838 seconds.
> found 20694/16777216 points with Q:(0.526051, 0.0840034) and r=0.02 | I/O = 260 | in 0.000814 seconds.
> found 20861/16777216 points with Q:(0.808234, 0.784099) and r=0.02 | I/O = 254 | in 0.000801 seconds.
> found 21221/16777216 points with Q:(0.0619664, 0.495118) and r=0.02 | I/O = 276 | in 0.000854 seconds.
> found 21281/16777216 points with Q:(0.48851, 0.148654) and r=0.02 | I/O = 265 | in 0.000908 seconds.
> found 21007/16777216 points with Q:(0.4985, 0.803814) and r=0.02 | I/O = 265 | in 0.000845 seconds.
> found 21274/16777216 points with Q:(0.440839, 0.167253) and r=0.02 | I/O = 271 | in 0.000850 seconds.
> found 21188/16777216 points with Q:(0.879729, 0.496246) and r=0.02 | I/O = 263 | in 0.001045 seconds.
> found 21163/16777216 points with Q:(0.562903, 0.369858) and r=0.02 | I/O = 264 | in 0.001502 seconds.
> found 21381/16777216 points with Q:(0.0542425, 0.596042) and r=0.02 | I/O = 270 | in 0.001064 seconds.
> found 21180/16777216 points with Q:(0.679984, 0.618745) and r=0.02 | I/O = 265 | in 0.000927 seconds.
> found 21208/16777216 points with Q:(0.19749, 0.168712) and r=0.02 | I/O = 263 | in 0.000907 seconds.
> found 21127/16777216 points with Q:(0.240958, 0.374764) and r=0.02 | I/O = 264 | in 0.001131 seconds.
> found 21215/16777216 points with Q:(0.331746, 0.214918) and r=0.02 | I/O = 258 | in 0.000890 seconds.
> found 21124/16777216 points with Q:(0.142066, 0.478523) and r=0.02 | I/O = 265 | in 0.000876 seconds.
> found 21062/16777216 points with Q:(0.145982, 0.85918) and r=0.02 | I/O = 274 | in 0.000872 seconds.
> found 21224/16777216 points with Q:(0.943183, 0.824671) and r=0.02 | I/O = 260 | in 0.000845 seconds.
> found 21372/16777216 points with Q:(0.60877, 0.672034) and r=0.02 | I/O = 260 | in 0.000830 seconds.
> found 20961/16777216 points with Q:(0.167151, 0.751417) and r=0.02 | I/O = 261 | in 0.000885 seconds.
> found 20961/16777216 points with Q:(0.900071, 0.670737) and r=0.02 | I/O = 260 | in 0.000841 seconds.
> found 20983/16777216 points with Q:(0.474551, 0.655661) and r=0.02 | I/O = 266 | in 0.001161 seconds.
> found 20964/16777216 points with Q:(0.822914, 0.398571) and r=0.02 | I/O = 263 | in 0.001138 seconds.
> found 21008/16777216 points with Q:(0.894817, 0.91539) and r=0.02 | I/O = 258 | in 0.000986 seconds.
> found 21399/16777216 points with Q:(0.285248, 0.702643) and r=0.02 | I/O = 264 | in 0.000945 seconds.
> found 20845/16777216 points with Q:(0.298685, 0.457721) and r=0.02 | I/O = 262 | in 0.000967 seconds.
> found 21127/16777216 points with Q:(0.0764656, 0.339491) and r=0.02 | I/O = 263 | in 0.000921 seconds.
> found 21121/16777216 points with Q:(0.508202, 0.978669) and r=0.02 | I/O = 257 | in 0.000881 seconds.
