=====================================================================
testing with 2048 points.

> created 2048 random points in 0.000123 seconds.
> created a mtree with 2048 random points in 0.001663 seconds with height 2.
> found 4/2048 points with Q:(0.60678, 0.616621) and r=0.02 | I/O = 21 | in 0.000017 seconds.
> found 4/2048 points with Q:(0.873948, 0.872582) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.662238, 0.188071) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 5/2048 points with Q:(0.897726, 0.106213) and r=0.02 | I/O = 13 | in 0.000006 seconds.
> found 3/2048 points with Q:(0.172245, 0.879658) and r=0.02 | I/O = 11 | in 0.000006 seconds.
> found 3/2048 points with Q:(0.811921, 0.585633) and r=0.02 | I/O = 17 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.319462, 0.665254) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 3/2048 points with Q:(0.146553, 0.8919) and r=0.02 | I/O = 11 | in 0.000005 seconds.
> found 2/2048 points with Q:(0.344307, 0.0146218) and r=0.02 | I/O = 14 | in 0.000006 seconds.
> found 6/2048 points with Q:(0.0801466, 0.435894) and r=0.02 | I/O = 15 | in 0.000007 seconds.
> found 6/2048 points with Q:(0.44131, 0.934457) and r=0.02 | I/O = 15 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.785181, 0.261512) and r=0.02 | I/O = 17 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.343652, 0.331047) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 3/2048 points with Q:(0.97941, 0.0138432) and r=0.02 | I/O = 9 | in 0.000005 seconds.
> found 4/2048 points with Q:(0.482109, 0.893111) and r=0.02 | I/O = 17 | in 0.000008 seconds.
> found 5/2048 points with Q:(0.509732, 0.343952) and r=0.02 | I/O = 21 | in 0.000009 seconds.
> found 3/2048 points with Q:(0.216535, 0.0888889) and r=0.02 | I/O = 13 | in 0.000006 seconds.
> found 3/2048 points with Q:(0.27696, 0.38368) and r=0.02 | I/O = 17 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.489893, 0.878773) and r=0.02 | I/O = 17 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.758431, 0.174686) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.760318, 0.662137) and r=0.02 | I/O = 17 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.327392, 0.570352) and r=0.02 | I/O = 20 | in 0.000008 seconds.
> found 5/2048 points with Q:(0.462252, 0.0797806) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.0944023, 0.473945) and r=0.02 | I/O = 15 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.909839, 0.806559) and r=0.02 | I/O = 14 | in 0.000006 seconds.
> found 5/2048 points with Q:(0.741016, 0.174549) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.436061, 0.351149) and r=0.02 | I/O = 21 | in 0.000009 seconds.
> found 4/2048 points with Q:(0.682195, 0.526197) and r=0.02 | I/O = 21 | in 0.000009 seconds.
> found 4/2048 points with Q:(0.54004, 0.779713) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 2/2048 points with Q:(0.672824, 0.661605) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 2/2048 points with Q:(0.00555723, 0.0221492) and r=0.02 | I/O = 9 | in 0.000005 seconds.
> found 1/2048 points with Q:(0.111038, 0.182556) and r=0.02 | I/O = 12 | in 0.000006 seconds.
> found 2/2048 points with Q:(0.566236, 0.222092) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 4/2048 points with Q:(0.100864, 0.387998) and r=0.02 | I/O = 15 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.562684, 0.0561285) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.718266, 0.859295) and r=0.02 | I/O = 14 | in 0.000006 seconds.
> found 1/2048 points with Q:(0.429647, 0.323002) and r=0.02 | I/O = 20 | in 0.000008 seconds.
> found 5/2048 points with Q:(0.402783, 0.0456575) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.519602, 0.891899) and r=0.02 | I/O = 16 | in 0.000023 seconds.
> found 4/2048 points with Q:(0.698458, 0.497185) and r=0.02 | I/O = 21 | in 0.000009 seconds.
> found 1/2048 points with Q:(0.671734, 0.429441) and r=0.02 | I/O = 21 | in 0.000009 seconds.
> found 5/2048 points with Q:(0.78059, 0.439474) and r=0.02 | I/O = 18 | in 0.000008 seconds.
> found 3/2048 points with Q:(0.96567, 0.107795) and r=0.02 | I/O = 13 | in 0.000006 seconds.
> found 4/2048 points with Q:(0.887508, 0.462785) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.12439, 0.50571) and r=0.02 | I/O = 15 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.527859, 0.560332) and r=0.02 | I/O = 21 | in 0.000009 seconds.
> found 4/2048 points with Q:(0.742889, 0.129947) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 6/2048 points with Q:(0.352039, 0.638897) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 1/2048 points with Q:(0.0268955, 0.309125) and r=0.02 | I/O = 12 | in 0.000006 seconds.
> found 3/2048 points with Q:(0.365253, 0.452903) and r=0.02 | I/O = 21 | in 0.000012 seconds.
> found 5/2048 points with Q:(0.312198, 0.58958) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 3/2048 points with Q:(0.912582, 0.0835189) and r=0.02 | I/O = 13 | in 0.000006 seconds.
> found 3/2048 points with Q:(0.129176, 0.741845) and r=0.02 | I/O = 14 | in 0.000006 seconds.
> found 4/2048 points with Q:(0.633744, 0.315365) and r=0.02 | I/O = 21 | in 0.000009 seconds.
> found 3/2048 points with Q:(0.81255, 0.648779) and r=0.02 | I/O = 17 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.0782201, 0.332202) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.771675, 0.484285) and r=0.02 | I/O = 18 | in 0.000007 seconds.
> found 6/2048 points with Q:(0.59208, 0.85881) and r=0.02 | I/O = 16 | in 0.000009 seconds.
> found 1/2048 points with Q:(0.321595, 0.737346) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 3/2048 points with Q:(0.243056, 0.479588) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.0399208, 0.445985) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.575932, 0.770915) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 5/2048 points with Q:(0.409813, 0.782809) and r=0.02 | I/O = 18 | in 0.000008 seconds.
> found 4/2048 points with Q:(0.0919339, 0.927971) and r=0.02 | I/O = 11 | in 0.000005 seconds.
