=====================================================================
testing with 4096 points.

> created 4096 random points in 0.000291 seconds.
> created a mtree with 4096 random points in 19.474247 minutes | (1168.454812 seconds) with height 3.
> found 10/4096 points with Q:(0.810598, 0.161284) and r=0.02 | I/O = 26 | in 0.000034 seconds.
> found 3/4096 points with Q:(0.490074, 0.21719) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 4/4096 points with Q:(0.539584, 0.309426) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 1/4096 points with Q:(0.269989, 0.574821) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 5/4096 points with Q:(0.660267, 0.963881) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 6/4096 points with Q:(0.0560048, 0.840107) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 3/4096 points with Q:(0.598649, 0.0795251) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 7/4096 points with Q:(0.976568, 0.287366) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 11/4096 points with Q:(0.819319, 0.318917) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 5/4096 points with Q:(0.99333, 0.927354) and r=0.02 | I/O = 21 | in 0.000012 seconds.
> found 5/4096 points with Q:(0.635123, 0.0741273) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 4/4096 points with Q:(0.783995, 0.862705) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 3/4096 points with Q:(0.99049, 0.384198) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 7/4096 points with Q:(0.797144, 0.0821915) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 1/4096 points with Q:(0.0713566, 0.990821) and r=0.02 | I/O = 24 | in 0.000013 seconds.
> found 10/4096 points with Q:(0.152104, 0.446122) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 3/4096 points with Q:(0.663312, 0.881954) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 6/4096 points with Q:(0.19138, 0.642178) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 7/4096 points with Q:(0.216999, 0.202896) and r=0.02 | I/O = 26 | in 0.000016 seconds.
> found 10/4096 points with Q:(0.166776, 0.461369) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 2/4096 points with Q:(0.301476, 0.877266) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 5/4096 points with Q:(0.956791, 0.222781) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 7/4096 points with Q:(0.510147, 0.900126) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 2/4096 points with Q:(0.219043, 0.933359) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 4/4096 points with Q:(0.860713, 0.329466) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 3/4096 points with Q:(0.403593, 0.212373) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 5/4096 points with Q:(0.0750785, 0.495836) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 5/4096 points with Q:(0.880034, 0.187588) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 8/4096 points with Q:(0.26978, 0.0655686) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 4/4096 points with Q:(0.0563892, 0.677177) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 3/4096 points with Q:(0.123299, 0.341136) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 11/4096 points with Q:(0.22309, 0.208493) and r=0.02 | I/O = 26 | in 0.000021 seconds.
> found 6/4096 points with Q:(0.850671, 0.78661) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 3/4096 points with Q:(0.989506, 0.41447) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 4/4096 points with Q:(0.875839, 0.0676704) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 6/4096 points with Q:(0.944936, 0.156282) and r=0.02 | I/O = 26 | in 0.000016 seconds.
