=====================================================================
testing with 8192 points.

> created 8192 random points in 0.000464 seconds.
> created a mtree with 8192 random points in 2.277179 hours | (136.630738 minutes) with height 3.
> found 10/8192 points with Q:(0.472977, 0.420142) and r=0.02 | I/O = 50 | in 0.000055 seconds.
> found 14/8192 points with Q:(0.54115, 0.983161) and r=0.02 | I/O = 50 | in 0.000031 seconds.
> found 12/8192 points with Q:(0.789418, 0.114759) and r=0.02 | I/O = 50 | in 0.000029 seconds.
> found 7/8192 points with Q:(0.343607, 0.887017) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 14/8192 points with Q:(0.0580342, 0.600984) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 10/8192 points with Q:(0.93036, 0.873877) and r=0.02 | I/O = 49 | in 0.000028 seconds.
> found 11/8192 points with Q:(0.540429, 0.208391) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 10/8192 points with Q:(0.591147, 0.94551) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 5/8192 points with Q:(0.255183, 0.946904) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 9/8192 points with Q:(0.333716, 0.936179) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 10/8192 points with Q:(0.00874809, 0.140016) and r=0.02 | I/O = 49 | in 0.000030 seconds.
> found 11/8192 points with Q:(0.160036, 0.598905) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 7/8192 points with Q:(0.909901, 0.33761) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 11/8192 points with Q:(0.50766, 0.452985) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 11/8192 points with Q:(0.600881, 0.134846) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 7/8192 points with Q:(0.554988, 0.786357) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 8/8192 points with Q:(0.769517, 0.0738584) and r=0.02 | I/O = 50 | in 0.000028 seconds.
