=====================================================================
testing with 1024 points.

> created 1024 random points in 0.000060 seconds.
> created a mtree with 1024 random points in 29.629960 seconds with height 2.
> found 2/1024 points with Q:(0.213108, 0.0358333) and r=0.02 | I/O = 7 | in 0.000019 seconds.
> found 0/1024 points with Q:(0.923157, 0.393221) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 4/1024 points with Q:(0.806092, 0.73041) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 0/1024 points with Q:(0.665165, 0.343269) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.0053414, 0.861658) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.861103, 0.60472) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.990134, 0.163709) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.335419, 0.613674) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.434804, 0.147823) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 4/1024 points with Q:(0.106595, 0.0957499) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.617826, 0.305786) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.00508019, 0.0341334) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.634835, 0.111818) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.29097, 0.562966) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.738489, 0.707837) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.74367, 0.412327) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.805548, 0.951597) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.682007, 0.666827) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.0100958, 0.61164) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.473298, 0.347172) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.951891, 0.0154372) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.179146, 0.334401) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.948075, 0.942025) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.0898485, 0.514566) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.610316, 0.382878) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.688664, 0.196444) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.230577, 0.228141) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.339959, 0.693744) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.25671, 0.865412) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.573249, 0.630929) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.0432553, 0.995199) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.946796, 0.316919) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.983746, 0.848803) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.460444, 0.628802) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.975974, 0.993842) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 0/1024 points with Q:(0.00927921, 0.933741) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.268142, 0.927865) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.869891, 0.188426) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.702992, 0.216217) and r=0.02 | I/O = 7 | in 0.000006 seconds.
> found 0/1024 points with Q:(0.599095, 0.959739) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.156183, 0.313308) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.541449, 0.287759) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.981504, 0.38676) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.252172, 0.881408) and r=0.02 | I/O = 8 | in 0.000004 seconds.
