=====================================================================
testing with 8192 points.

> created 8192 random points in 0.000475 seconds.
> created a mtree with 8192 random points in 2.186468 hours | (131.188051 minutes) with height 2.
> found 9/8192 points with Q:(0.513328, 0.51648) and r=0.02 | I/O = 50 | in 0.000041 seconds.
> found 15/8192 points with Q:(0.126127, 0.319836) and r=0.02 | I/O = 49 | in 0.000028 seconds.
> found 6/8192 points with Q:(0.972738, 0.991016) and r=0.02 | I/O = 41 | in 0.000023 seconds.
> found 8/8192 points with Q:(0.411836, 0.715614) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 8/8192 points with Q:(0.500798, 0.428021) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 10/8192 points with Q:(0.0784745, 0.857165) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 11/8192 points with Q:(0.855306, 0.635291) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 9/8192 points with Q:(0.38503, 0.582871) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 8/8192 points with Q:(0.680037, 0.669484) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 12/8192 points with Q:(0.906142, 0.348658) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 8/8192 points with Q:(0.784635, 0.257156) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 12/8192 points with Q:(0.105701, 0.536208) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 11/8192 points with Q:(0.0468269, 0.508974) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 9/8192 points with Q:(0.786309, 0.541371) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 15/8192 points with Q:(0.458755, 0.113506) and r=0.02 | I/O = 49 | in 0.000027 seconds.
> found 14/8192 points with Q:(0.629987, 0.226101) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 10/8192 points with Q:(0.545936, 0.972083) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 13/8192 points with Q:(0.963099, 0.756114) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 11/8192 points with Q:(0.471728, 0.518674) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 9/8192 points with Q:(0.946695, 0.374934) and r=0.02 | I/O = 50 | in 0.000027 seconds.
