=====================================================================
testing with 1024 points.

> created 1024 random points in 0.000058 seconds.
> created a mtree with 1024 random points in 29.849840 seconds with height 3.
> found 1/1024 points with Q:(0.379797, 0.111218) and r=0.02 | I/O = 8 | in 0.000020 seconds.
> found 2/1024 points with Q:(0.230441, 0.750224) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 1/1024 points with Q:(0.271428, 0.911982) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.0163009, 0.694147) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 1/1024 points with Q:(0.74039, 0.825619) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.0862638, 0.961706) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.787276, 0.998362) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.802664, 0.795392) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.38896, 0.227463) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.0750962, 0.152559) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 2/1024 points with Q:(0.202248, 0.415322) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.970935, 0.00815364) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.0668405, 0.137988) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.582221, 0.517803) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.583194, 0.0462585) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.157477, 0.679185) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.42941, 0.96299) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.874973, 0.387917) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.0820639, 0.700838) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.526457, 0.891274) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.85298, 0.822454) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.820816, 0.612721) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.408113, 0.640256) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.867719, 0.62348) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.776039, 0.797073) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.212395, 0.942815) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.950969, 0.978286) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.116274, 0.18333) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.701133, 0.0178094) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.0640679, 0.698495) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.377681, 0.284327) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.247317, 0.221545) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.609462, 0.80709) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.507928, 0.12229) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.0135634, 0.691526) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.51398, 0.0343858) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.647107, 0.866543) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.506799, 0.334795) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.958275, 0.0552198) and r=0.02 | I/O = 8 | in 0.000006 seconds.
> found 0/1024 points with Q:(0.852293, 0.374519) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.317334, 0.734314) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.7126, 0.0646873) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.248017, 0.268303) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.286112, 0.828874) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.52737, 0.949151) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.233478, 0.35018) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.571725, 0.90505) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.712141, 0.480795) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.603085, 0.181187) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.872712, 0.220069) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.254455, 0.616648) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.483192, 0.386692) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.721488, 0.901562) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.956782, 0.989991) and r=0.02 | I/O = 6 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.364509, 0.679763) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 0/1024 points with Q:(0.414077, 0.809074) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.873762, 0.681843) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.950146, 0.126677) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.955551, 0.121779) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.0709297, 0.236258) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.586438, 0.482921) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.387971, 0.304408) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.785203, 0.158163) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.339349, 0.100112) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.320181, 0.388288) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.00493592, 0.212062) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 5/1024 points with Q:(0.598754, 0.574636) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 1/1024 points with Q:(0.476198, 0.488127) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.478118, 0.320242) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(4.34695e-06, 0.432979) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 0/1024 points with Q:(0.242053, 0.842628) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.524471, 0.414081) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 2/1024 points with Q:(0.540758, 0.115815) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.237594, 0.474617) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.710875, 0.49631) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.979231, 0.308524) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.612931, 0.297313) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.455476, 0.367202) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.467314, 0.398134) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.786421, 0.794825) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.00688667, 0.787495) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.362131, 0.791357) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 4/1024 points with Q:(0.279485, 0.605641) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.925882, 0.838328) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.271308, 0.757603) and r=0.02 | I/O = 8 | in 0.000035 seconds.
> found 0/1024 points with Q:(0.600231, 0.925886) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 1/1024 points with Q:(0.339968, 0.513361) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 4/1024 points with Q:(0.629176, 0.124702) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.599319, 0.880726) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.377035, 0.86677) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.175293, 0.310194) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.607507, 0.356266) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.723468, 0.788224) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.186358, 0.062983) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.857808, 0.190782) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 0/1024 points with Q:(0.978276, 0.97278) and r=0.02 | I/O = 6 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.764137, 0.864695) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.470335, 0.340407) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.178736, 0.0436217) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.801225, 0.396217) and r=0.02 | I/O = 8 | in 0.000004 seconds.

percentage of foundness 0.117188% | avg I/O: 7.93



> main finished after 29.850472 seconds
