=====================================================================
testing with 4096 points.

> created 4096 random points in 0.000281 seconds.
> created a mtree with 4096 random points in 19.130380 minutes | (1147.822809 seconds) with height 3.
> found 5/4096 points with Q:(0.142405, 0.886775) and r=0.02 | I/O = 26 | in 0.000029 seconds.
> found 5/4096 points with Q:(0.586233, 0.547009) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 3/4096 points with Q:(0.151158, 0.742411) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 5/4096 points with Q:(0.875559, 0.259605) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 1/4096 points with Q:(0.248358, 0.208456) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 9/4096 points with Q:(0.919612, 0.0500108) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 11/4096 points with Q:(0.0934989, 0.888104) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 6/4096 points with Q:(0.400946, 0.768508) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 3/4096 points with Q:(0.142827, 0.36367) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 5/4096 points with Q:(0.876817, 0.512838) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 3/4096 points with Q:(0.929382, 0.294119) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 4/4096 points with Q:(0.578521, 0.144696) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 5/4096 points with Q:(0.00873915, 0.325479) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 6/4096 points with Q:(0.393805, 0.0896068) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 1/4096 points with Q:(0.00543413, 0.998295) and r=0.02 | I/O = 18 | in 0.000011 seconds.
> found 5/4096 points with Q:(0.88507, 0.48004) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 5/4096 points with Q:(0.0270492, 0.147839) and r=0.02 | I/O = 25 | in 0.000014 seconds.
> found 3/4096 points with Q:(0.89025, 0.471304) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 5/4096 points with Q:(0.730908, 0.178207) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 7/4096 points with Q:(0.386663, 0.765809) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 4/4096 points with Q:(0.81582, 0.979266) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 3/4096 points with Q:(0.86737, 0.306275) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 3/4096 points with Q:(0.0747821, 0.909319) and r=0.02 | I/O = 26 | in 0.000014 seconds.
> found 4/4096 points with Q:(0.272989, 0.268316) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 5/4096 points with Q:(0.781154, 0.21761) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 5/4096 points with Q:(0.511729, 0.149806) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 8/4096 points with Q:(0.294502, 0.710536) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 10/4096 points with Q:(0.0360156, 0.0902495) and r=0.02 | I/O = 25 | in 0.000014 seconds.
> found 6/4096 points with Q:(0.179856, 0.303241) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 6/4096 points with Q:(0.301536, 0.429821) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 3/4096 points with Q:(0.909861, 0.18529) and r=0.02 | I/O = 26 | in 0.000015 seconds.
> found 5/4096 points with Q:(0.333129, 0.186607) and r=0.02 | I/O = 26 | in 0.000020 seconds.
> found 3/4096 points with Q:(0.657911, 0.93691) and r=0.02 | I/O = 26 | in 0.000015 seconds.
