=====================================================================
testing with 4096 points.

> created 4096 random points in 0.000245 seconds.
> created a mtree with 4096 random points in 20.583828 minutes | (1235.029693 seconds).
> found 8/4096 points with Q:(0.522606, 0.913169) and r=0.02 | I/O = 25.
> found 5/4096 points with Q:(0.458822, 0.886378) and r=0.02 | I/O = 25.
> found 2/4096 points with Q:(0.214703, 0.837235) and r=0.02 | I/O = 26.
> found 5/4096 points with Q:(0.355422, 0.33313) and r=0.02 | I/O = 26.
> found 1/4096 points with Q:(0.25608, 0.837467) and r=0.02 | I/O = 26.
> found 4/4096 points with Q:(0.649965, 0.918741) and r=0.02 | I/O = 25.
> found 6/4096 points with Q:(0.761681, 0.986185) and r=0.02 | I/O = 25.
> found 3/4096 points with Q:(0.873118, 0.160417) and r=0.02 | I/O = 26.
> found 5/4096 points with Q:(0.952594, 0.613047) and r=0.02 | I/O = 25.
> found 5/4096 points with Q:(0.245498, 0.929246) and r=0.02 | I/O = 25.
> found 2/4096 points with Q:(0.371129, 0.143184) and r=0.02 | I/O = 26.
> found 6/4096 points with Q:(0.0781591, 0.126968) and r=0.02 | I/O = 26.
> found 5/4096 points with Q:(0.756435, 0.403537) and r=0.02 | I/O = 26.
> found 3/4096 points with Q:(0.0810746, 0.872186) and r=0.02 | I/O = 25.
> found 2/4096 points with Q:(0.751929, 0.382546) and r=0.02 | I/O = 26.
> found 3/4096 points with Q:(0.295715, 0.55288) and r=0.02 | I/O = 26.
> found 1/4096 points with Q:(0.439258, 0.274535) and r=0.02 | I/O = 26.
> found 4/4096 points with Q:(0.11177, 0.754537) and r=0.02 | I/O = 26.
> found 4/4096 points with Q:(0.087667, 0.653961) and r=0.02 | I/O = 26.
> found 8/4096 points with Q:(0.491428, 0.467192) and r=0.02 | I/O = 26.
> found 3/4096 points with Q:(0.385933, 0.343747) and r=0.02 | I/O = 26.
> found 4/4096 points with Q:(0.329932, 0.141393) and r=0.02 | I/O = 26.
> found 3/4096 points with Q:(0.30181, 0.147614) and r=0.02 | I/O = 26.
> found 8/4096 points with Q:(0.760661, 0.20305) and r=0.02 | I/O = 26.
> found 8/4096 points with Q:(0.132296, 0.254403) and r=0.02 | I/O = 26.
> found 1/4096 points with Q:(0.397587, 0.00615891) and r=0.02 | I/O = 26.
> found 5/4096 points with Q:(0.133127, 0.503426) and r=0.02 | I/O = 26.
> found 6/4096 points with Q:(0.906962, 0.475746) and r=0.02 | I/O = 25.
> found 3/4096 points with Q:(0.347932, 0.889563) and r=0.02 | I/O = 25.
> found 3/4096 points with Q:(0.272108, 0.988037) and r=0.02 | I/O = 25.
> found 6/4096 points with Q:(0.540917, 0.099861) and r=0.02 | I/O = 26.
> found 4/4096 points with Q:(0.374396, 0.567823) and r=0.02 | I/O = 26.
> found 4/4096 points with Q:(0.32236, 0.980175) and r=0.02 | I/O = 25.
> found 6/4096 points with Q:(0.634136, 0.486166) and r=0.02 | I/O = 26.
> found 4/4096 points with Q:(0.953358, 0.410027) and r=0.02 | I/O = 25.
> found 3/4096 points with Q:(0.753775, 0.125564) and r=0.02 | I/O = 26.
> found 4/4096 points with Q:(0.266957, 0.33929) and r=0.02 | I/O = 26.
> found 7/4096 points with Q:(0.486904, 0.0837068) and r=0.02 | I/O = 26.
> found 4/4096 points with Q:(0.286757, 0.568766) and r=0.02 | I/O = 26.
> found 5/4096 points with Q:(0.82317, 0.247565) and r=0.02 | I/O = 26.
> found 4/4096 points with Q:(0.253724, 0.419053) and r=0.02 | I/O = 26.
> found 12/4096 points with Q:(0.922479, 0.220757) and r=0.02 | I/O = 26.
> found 2/4096 points with Q:(0.696503, 0.386851) and r=0.02 | I/O = 26.
> found 2/4096 points with Q:(0.276413, 0.829441) and r=0.02 | I/O = 26.
> found 6/4096 points with Q:(0.817479, 0.0444348) and r=0.02 | I/O = 26.
> found 1/4096 points with Q:(0.144296, 0.548522) and r=0.02 | I/O = 26.
> found 5/4096 points with Q:(0.116345, 0.358396) and r=0.02 | I/O = 26.
> found 3/4096 points with Q:(0.338571, 0.518692) and r=0.02 | I/O = 26.
> found 4/4096 points with Q:(0.00485794, 0.438705) and r=0.02 | I/O = 26.
> found 5/4096 points with Q:(0.848732, 0.972707) and r=0.02 | I/O = 25.
> found 9/4096 points with Q:(0.098271, 0.958215) and r=0.02 | I/O = 25.
> found 4/4096 points with Q:(0.297506, 0.602507) and r=0.02 | I/O = 26.
> found 6/4096 points with Q:(0.686214, 0.365228) and r=0.02 | I/O = 26.
> found 6/4096 points with Q:(0.933994, 0.78441) and r=0.02 | I/O = 25.
